Postcode,Title Number,Tenure,Property Address,District,County,Region,Multiple Address Indicator,Price Paid,Proprietor Name (1),Company Registration No. (1),Proprietorship Category (1),Proprietor (1) Address (1),Proprietor (1) Address (2),Proprietor (1) Address (3),Proprietor Name (2),Company Registration No. (2),Proprietorship Category (2),Proprietor (2) Address (1),Proprietor (2) Address (2),Proprietor (2) Address (3),Proprietor Name (3),Company Registration No. (3),Proprietorship Category (3),Proprietor (3) Address (1),Proprietor (3) Address (2),Proprietor (3) Address (3),Proprietor Name (4),Company Registration No. (4),Proprietorship Category (4),Proprietor (4) Address (1),Proprietor (4) Address (2),Proprietor (4) Address (3),Date Proprietor Added,Additional Proprietor Indicator,Matching Address,LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,ASSET_RATING,ASSET_RATING_BAND,PROPERTY_TYPE,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,TRANSACTION_TYPE,NEW_BUILD_BENCHMARK,EXISTING_STOCK_BENCHMARK,BUILDING_LEVEL,MAIN_HEATING_FUEL,OTHER_FUEL_DESC,SPECIAL_ENERGY_USES,RENEWABLE_SOURCES,FLOOR_AREA,STANDARD_EMISSIONS,TARGET_EMISSIONS,TYPICAL_EMISSIONS,BUILDING_EMISSIONS,AIRCON_PRESENT,AIRCON_KW_RATING,ESTIMATED_AIRCON_KW_RATING,AC_INSPECTION_COMMISSIONED,BUILDING_ENVIRONMENT,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,POSTTOWN,LODGEMENT_DATETIME,PRIMARY_ENERGY_VALUE,UPRN,UPRN_SOURCE,Ofgem industry,Energy intensity,Consumption (kWh)
SE1 9JH,TGL530438,Leasehold,"58 Hopton Street, London (SE1 9JH)",SOUTHWARK,GREATER LONDON,GREATER LONDON,N,,HOLYWELL MUSIC LIMITED,03097217,Limited Company or Public Limited Company,"14-15 Craven Street, London WC2N 5AD",,,,,,,,,,,,,,,,,,,,,02-08-2019,N,58 Hopton Street,139179156212018111318151809909501,,58 Hopton Street,,SE1 9JH,518969400000,76,D,A1/A2 Retail and Financial/Professional services,2018-10-25,E09000028,E14000553,Greater London Authority,2018-11-13,Mandatory issue (Property to let).,25,74,3,Grid Supplied Electricity,,,,182,62.17,31.5,92.3,94.67,Yes,,3.0,5,Air Conditioning,Southwark,Bermondsey and Old Southwark,LONDON,2018-11-13 18:15:18,560,200003377160,Address Matched,Shops,84,15288
SE1 9LR,TGL375324,Leasehold,"71 Hopton Street, London (SE1 9LR)",SOUTHWARK,GREATER LONDON,GREATER LONDON,N,,INTERNATIONAL ART CONSULTANTS LIMITED,01517591,Limited Company or Public Limited Company,"1st Floor, 71 Hopton Street, London SE1 9LR",,,,,,,,,,,,,,,,,,,,,25-02-2013,N,71 Hopton Street,43236310902018091517270256700030,,71 Hopton Street,,SE1 9LR,992531750000,73,C,B1 Offices and Workshop businesses,2018-07-06,E09000028,E14000553,Greater London Authority,2018-09-15,Mandatory issue (Property to let).,26,75,3,Natural Gas,,,,924,32.81,16.75,49.09,47.68,No,,,4,Air Conditioning,Southwark,Bermondsey and Old Southwark,LONDON,2018-09-15 17:27:02,281,10091953340,Address Matched,Offices,59,54516
SE1 9LX,31651,Freehold,"Stamford Arms, 62 Stamford Street, London (SE1 9LX)",SOUTHWARK,GREATER LONDON,GREATER LONDON,N,,MASCOLO LIMITED,00770236,Limited Company or Public Limited Company,"58-60 Stamford Street, London SE1 9LX",,,,,,,,,,,,,,,,,,,,,18-05-2011,N,"Stamford Arms, 62 Stamford Street",48057500202011071213485789100930,,Stamford Arms,62 Stamford Street,SE1 9LX,622360180000,77,D,A3/A4/A5 Restaurant and Cafes/Drinking Establishments and Hot Food takeaways,2011-07-11,E09000028,E14000553,Greater London Authority,2011-07-12,Mandatory issue (Marketed sale).,33,87,3,Natural Gas,,,,466,79.42,51.67,137.79,122.91,Yes,,3.0,5,Air Conditioning,Southwark,Bermondsey and Old Southwark,LONDON,2011-07-12 13:48:57,,200003376874,Address Matched,Hospitality,111,51726
SE1 9PY,TGL385412,Leasehold,"Dorset House, 27-45 Stamford Street, London (SE1 9PY)",SOUTHWARK,GREATER LONDON,GREATER LONDON,N,,WEXAS LIMITED,01820489,Limited Company or Public Limited Company,"45-49 Brompton Road, London SW3 1DE",,,,,,,,,,,,,,,,,,,,,24-09-2013,N,"Dorset House, 27-45 Stamford Street",50603157032013022212580008000992,,Dorset House,27-45 Stamford Street,SE1 9PY,523898960000,125,E,B1 Offices and Workshop businesses,2013-02-20,E09000028,E14000553,Greater London Authority,2013-02-22,Mandatory issue (Marketed sale).,40,105,4,Natural Gas,,,,8092,26.69,21.09,56.25,66.61,Yes,,3.0,5,Air Conditioning,Southwark,Bermondsey and Old Southwark,LONDON,2013-02-22 12:58:00,,,,Offices,59,477428
SE1 9QG,TGL371258,Leasehold,"16-26 Borough High Street, London (SE1 9QG)",SOUTHWARK,GREATER LONDON,GREATER LONDON,N,,THE TRUSTEES OF THE BOROUGH MARKET (SOUTHWARK),,Corporate Body,"8 Southwark Street, London SE1 1TL",,,,,,,,,,,,,,,,,,,,,23-11-2012,N,16-26 Borough High Street,dcc7e6b90f0ba187f8ceaf6d3cc8b221258e98a9b0183737eb922679cbd6f203,16-26 Borough High Street,,,SE1 9QG,10004520127,25,A,Retail/Financial and Professional Services,2023-03-27,E09000028,E14000553,,2023-05-24,Mandatory issue (Marketed sale),4,15,3,Grid Supplied Electricity,,,,75,79.74,5.89,23.6,39.49,No,,,4,Heating and Natural Ventilation,Southwark,Bermondsey and Old Southwark,LONDON,2023-05-24 12:08:13,405,,,Shops,84,6300
SE1 9QQ,TGL114626,Freehold,"Bridge House, 4 Borough High Street, London (SE1 9QQ)",SOUTHWARK,GREATER LONDON,GREATER LONDON,N,,GMS ESTATES LIMITED,00210378,Limited Company or Public Limited Company,"32 Great James Street, London WC1N 3HB",,,,,,,,,,,,,,,,,,,,,07-04-2016,N,"Bridge House, 4 Borough High Street",3404730342008112809391584509290,,Bridge House,4 Borough High Street,SE1 9QQ,336993580000,74,C,Office,2008-11-24,E09000028,E14000553,Greater London Authority,2008-11-28,,52,120,4,Natural Gas,,,,3449,,,,,,,,,Air Conditioning,Southwark,Bermondsey and Old Southwark,LONDON,2008-11-28 09:39:15,,200003492396,Address Matched,Offices,59,203491
SE1 9RA,TGL530986,Leasehold,"Ground Floor, 2 London Bridge, London (SE1 9RA)",SOUTHWARK,GREATER LONDON,GREATER LONDON,N,,LXA PROJECTS LIMITED,07872806,Limited Company or Public Limited Company,"Hatfield House, 52-54 Stamford Street, London SE1 9LX",,,LXA CONSTRUCTION LIMITED,07872768,Limited Company or Public Limited Company,"Hatfield House, 52-54 Stamford Street, London SE1 9LX",,,THE SECRET BOXING GYM LIMITED,1612155,Limited Company or Public Limited Company,"Apartment 16, 70 Horseferry Road, London SW1P 2DU",,,,,,,,,12-08-2019,N,"Ground Floor, 2 London Bridge",598f11ff30f1b4ce11927c492a4681453bc7de1ed5da8a4fc580ee173c2c0e9d,Ground Floor,2 London Bridge,,SE1 9RA,10005546429,54,C,Offices and Workshop Businesses,2023-12-13,E09000028,E14000553,,2024-01-13,Mandatory issue (Property to let).,13,52,3,Grid Supplied Electricity,,,,419,11.16,2.88,11.54,12.1,Yes,,3.0,5,Air Conditioning,Southwark,Bermondsey and Old Southwark,LONDON,2024-01-13 18:02:55,133,10090747594,Energy Assessor,Offices,59,24721
SE1 9SE,TGL511419,Leasehold,"21 Borough High Street, London (SE1 9SE)",SOUTHWARK,GREATER LONDON,GREATER LONDON,N,,BAJWA ENTERPRISES LIMITED,05075515,Limited Company or Public Limited Company,"49 The Broadway, Southall UB1 1JY",,,,,,,,,,,,,,,,,,,,,15-10-2018,N,21 Borough High Street,83e78a4be632123fbc85a22b9d1ab459c4619e2bbc76b5403114430a857aa5c7,21 Borough High Street,,,SE1 9SE,10004233865,68,C,Retail/Financial and Professional Services,2023-03-14,E09000028,E14000553,,2023-03-16,Mandatory issue (Property to let).,8,33,3,Grid Supplied Electricity,,,,156,14.6,2.44,9.78,19.88,No,,,4,Heating and Natural Ventilation,Southwark,Bermondsey and Old Southwark,LONDON,2023-03-16 00:38:27,206,200003376902,Energy Assessor,Shops,84,13104
SE1 9SG,TGL418408,Leasehold,"8 London Bridge Street, London (SE1 9SG)",SOUTHWARK,GREATER LONDON,GREATER LONDON,N,,HEALTHY RETAIL LTD,6878814,Limited Company or Public Limited Company,"Unit 2, Mountview Court, 310 Friern Barnet Lane, London N20 0LD",,,,,,,,,,,,,,,,,,,,,26-02-2015,N,8 London Bridge Street,85969457012019020614372208009858,,8 London Bridge Street,,SE1 9SG,881478350000,71,C,B1 Offices and Workshop businesses,2019-02-05,E09000028,E14000553,Greater London Authority,2019-02-06,Mandatory issue (Property to let).,38,110,3,Grid Supplied Electricity,,,,1020,29.62,22.31,65.37,41.95,No,,2.0,4,Air Conditioning,Southwark,Bermondsey and Old Southwark,LONDON,2019-02-06 14:37:22,248,10009800797,Address Matched,Offices,59,60180
SE10 0AT,TGL404038,Leasehold,"Unit 4, City Cross Business Park, Salutation Road, London (SE10 0AT)",GREENWICH,GREATER LONDON,GREATER LONDON,N,,GRAY & MCDONNELL LIMITED,489833,Limited Company or Public Limited Company,"Units 3 & 4 City Cross Business Park, Salutation Road, Greenwich SE10 0AT",,,,,,,,,,,,,,,,,,,,,24-07-2014,N,"Unit 4, City Cross Business Park, Salutation Road",0f8c26325c7f8b3ac2a4219642ec09f71ea16b3c6ea79a5057f1df6b54a6d350,Unit 4,City Cross Business Park,Salutation Road,SE10 0AT,10003382071,69,C,General Industrial and Special Industrial Groups,2022-07-21,E09000011,E14000718,Greater London Authority,2022-07-26,Mandatory issue (Marketed sale),0,0,3,Natural Gas,,,,1049,8.47,0.01,0.05,11.74,No,,,4,Heating and Natural Ventilation,Greenwich,Greenwich and Woolwich,LONDON,2022-07-26 11:17:04,96,10010239925,Address Matched,Factories,30,31470
SE10 0AY,TGL84468,Freehold,"155 Blackwall Lane, London (SE10 0AY)",GREENWICH,GREATER LONDON,GREATER LONDON,N,1900000.0,RAILWAY PENSION NOMINEES LIMITED,00948374,Limited Company or Public Limited Company,"100 Liverpool Street, London EC2M 2AT",,,,,,,,,,,,,,,,,,,,,23-06-2022,N,155 Blackwall Lane,ccf389769d0f5a6f3cd76883e9dde268e886eb240d517bc0444a880899dd7713,155 Blackwall Lane,,,SE10 0PL,10003362637,90,D,Offices and Workshop Businesses,2022-09-21,E09000011,E14000718,,2022-09-21,Mandatory issue (Marketed sale),5,22,3,Grid Supplied Electricity,,,,137,9.6,1.05,4.21,17.32,No,,,4,Heating and Natural Ventilation,Greenwich,Greenwich and Woolwich,Greenwich,2022-09-21 17:36:14,182,,,Offices,59,8083
SE10 0BA,TGL330795,Leasehold,"1 Newton Lodge, West Parkside, London (SE10 0BA)",GREENWICH,GREATER LONDON,GREATER LONDON,N,360000.0,MILLENNIUM MINIS LIMITED,07983646,Limited Company or Public Limited Company,"7 Teal Street, London SE10 0ST",,,,,,,,,,,,,,,,,,,,,08-10-2015,N,"1 Newton Lodge, West Parkside",b27b680f5611c2ed0a203307a19fbf91d0e357f3210785de002396a1bd5d993d,1 Newton Lodge,West Parkside,,SE10 0BA,10005824183,36,B,Non-residential Institutions: Education,2024-03-20,E09000011,E14000718,,2024-03-20,Mandatory issue (Property to let).,14,56,3,Grid Supplied Electricity,,,,256,14.35,4.01,16.09,10.31,No,,,4,Air Conditioning,Greenwich,Greenwich and Woolwich,LONDON,2024-03-20 15:17:31,110,,,Education,51,13056
SE10 0ER,TGL553459,Leasehold,"6 Mitre Passage, London (SE10 0ER)",GREENWICH,GREATER LONDON,GREATER LONDON,N,,COVENTRY UNIVERSITY HIGHER EDUCATION CORPORATION,04250941,Corporate Body,"Priory Street, Coventry CV1 5FB",,,MEANTIME NOMINEE 2 LIMITED,06346958,Limited Company or Public Limited Company,"31 Hill Street, London W1J 5LS",,,,,,,,,,,,,,,23-10-2020,N,6 Mitre Passage,2be90c70bfb1d8941f6716ae501ede6097f7bf28e6dfb370317d24acc7a9ba12,,6 Mitre Passage,,SE10 0ER,703770520000,47,B,B1 Offices and Workshop businesses,2019-11-08,E09000011,E14000718,Greater London Authority,2019-12-16,Voluntary re-issue (A valid EPC is already lodged).,37,98,5,Natural Gas,,,,14725,27.78,20.44,54.5,25.99,No,,3.0,4,Air Conditioning,Greenwich,Greenwich and Woolwich,LONDON,2019-12-16,153,,,Offices,59,868775
SE10 0ES,TGL323313,Leasehold,"14 Pier Walk, London (SE10 0ES)",GREENWICH,GREATER LONDON,GREATER LONDON,N,,TRANSPORT FOR LONDON,04250941,Corporate Body,"5 Endeavour Square, London E20 1JN","7th Floor, Yellow Zone, 197 Blackfriars Road, London SE1 8NJ",,,,,,,,,,,,,,,,,,,,08-01-2020,N,14 Pier Walk,b14b09b6bedd83541cdea966e2aac83fac37ee979ed181865e464f510c9a6532,14 Pier Walk,14 Pier Walk,,SE10 0ES,10002938536,56,C,B1 Offices and Workshop businesses,2022-03-08,E09000011,E14000718,Greater London Authority,2022-04-01,Mandatory issue (Marketed sale),45,121,5,Natural Gas,,,,21496,24.86,22.56,60.17,27.86,Yes,,3.0,5,Air Conditioning,Greenwich,Greenwich and Woolwich,LONDON,2022-04-01 08:51:23,164,10010231921,Address Matched,Offices,59,1268264
SE10 0FU,TGL556724,Leasehold,"Bear Point, 2 East Parkside, London (SE10 0FU)",GREENWICH,GREATER LONDON,GREATER LONDON,N,,KNIGHT DRAGON DEVELOPMENTS LIMITED,04250941,Limited Company or Public Limited Company,"Level 9, 6 Mitre Passage, London SE10 0ER",,,,,,,,,,,,,,,,,,,,,05-01-2021,N,"Bear Point, 2 East Parkside",87150105212013122010223706909346,,Bear Point,2 East Parkside,SE10 0FQ,367856740000,45,B,C2 Residential Institutions - Universities and colleges,2013-12-20,E09000011,E14000718,Greater London Authority,2013-12-20,Mandatory issue (Property on construction).,51,137,5,Other,,,,8391,51.03,52.5,140.01,46.33,Yes,,1.0,5,Heating and Natural Ventilation,Greenwich,Greenwich and Woolwich,LONDON,2013-12-20 10:22:37,,,,Education,51,427941
SE10 0GR,TGL13042,Freehold,"Thames Bank House, Tunnel Avenue, London (SE10 0GR)",GREENWICH,GREATER LONDON,GREATER LONDON,N,,MORDEN WHARF LIMITED,15038735,Limited Company or Public Limited Company,"3rd Floor, Sterling House, Langston Road, Loughton IG10 3TS",,,,,,,,,,,,,,,,,,,,,21-12-2023,N,"Thames Bank House, Tunnel Avenue",10db67cd3ff7e718bdff884708bb2579a81005bb64339fa1cc110992c88e7fa3,Thames Bank House,Tunnel Avenue,,SE10 0PA,10003823486,61,C,Retail/Financial and Professional Services,2022-12-15,E09000011,E14000718,,2022-12-22,Mandatory issue (Marketed sale),13,52,3,Grid Supplied Electricity,,,,2428,14.67,3.83,15.36,17.76,Yes,,2.0,5,Air Conditioning,Greenwich,Greenwich and Woolwich,GREENWICH,2022-12-22 09:19:48,181,100023227253,Energy Assessor,Shops,84,203952
SE10 0JU,TGL564201,Leasehold,"22 Woolwich Road, London (SE10 0JU)",GREENWICH,GREATER LONDON,GREATER LONDON,N,20000.0,AIRKITCHEN LIMITED,12695339,Limited Company or Public Limited Company,"45 Gloucester Street, Brighton BN1 4EW",,,,,,,,,,,,,,,,,,,,,25-05-2021,N,22 Woolwich Road,4affedd428edd130f6f1111e767437645ee1b10c4beba329d4c299c008d06e72,22 Woolwich Road,,,SE10 0JU,10000830824,62,C,A3/A4/A5 Restaurant and Cafes/Drinking Establishments and Hot Food takeaways,2021-02-26,E09000011,E14000718,,2021-02-28,Mandatory issue (Property to let).,26,76,3,Grid Supplied Electricity,,,,76,120.31,62.68,183.67,148.95,No,,,4,Heating and Natural Ventilation,Greenwich,Greenwich and Woolwich,LONDON,2021-02-28 00:00:00,881,10010201240,Address Matched,Hospitality,111,8436
SE10 0QW,SGL404975,Leasehold,"215 Tunnel Avenue, London (SE10 0QW)",GREENWICH,GREATER LONDON,GREATER LONDON,N,,BRENNTAG INORGANIC CHEMICALS LIMITED,915516,Limited Company or Public Limited Company,"Hays House, Millmead, Guildford, Surrey GU2 5HJ",,,,,,,,,,,,,,,,,,,,,29-08-1997,N,215 Tunnel Avenue,bb95d86ae9eab9b86b01ab0cd33129d1ac686e4f23e884acc0a751cd94754f24,215 Tunnel Avenue,,,SE10 0QW,10002943152,81,D,B1 Offices and Workshop businesses,2022-03-30,E09000011,E14000718,,2022-04-08,Mandatory issue (Property to let).,29,86,3,District Heating,,,,1558,36.21,21.14,61.95,58.54,Yes,,2.0,3,Heating and Natural Ventilation,Greenwich,Greenwich and Woolwich,GREENWICH,2022-04-08 08:55:56,307,100023227257,Energy Assessor,Offices,59,91922
SE10 0RA,TGL304125,Freehold,"17-23 Woolwich Road, London (SE10 0RA)",GREENWICH,GREATER LONDON,GREATER LONDON,N,,THE OFFICIAL CUSTODIAN FOR CHARITIES,11153610,Corporate Body,"St Margaret's Visitor Centre, Brandram Road, London SE13 5EA","Daniel Watney LLP, Chartered Surveyors, 165 Fleet Street, London EC4A 2DW",,,,,,,,,,,,,,,,,,,,06-02-2008,N,17-23 Woolwich Road,94090220242017020716520492800920,,17-23 Woolwich Road,,SE10 0RA,921162890000,55,C,A1/A2 Retail and Financial/Professional services,2014-02-12,E09000011,E14000718,Greater London Authority,2017-02-07,Mandatory issue (Marketed sale).,23,68,3,Grid Supplied Electricity,,,,248,64.82,29.89,87.6,71.04,No,,,4,Heating and Natural Ventilation,Greenwich,Greenwich and Woolwich,LONDON,2017-02-07 16:52:04,420,10010240519,Address Matched,Shops,84,20832
SE10 0RF,TGL582622,Leasehold,"113a-113b Woolwich Road, London (SE10 0RF)",GREENWICH,GREATER LONDON,GREATER LONDON,N,,SMGLTD LTD,09211081,Limited Company or Public Limited Company,"19 Northwood Gardens, Greenford UB6 0LE",,,,,,,,,,,,,,,,,,,,,04-05-2022,N,113a-113b Woolwich Road,150586743012019111121183800909111,,113a-113b Woolwich Road,,SE10 0RF,113430910000,67,C,D1 Non-residential Institutions - Education,2019-11-04,E09000011,E14000718,Greater London Authority,2019-11-11,Mandatory issue (Property to let).,27,78,3,Natural Gas,,,,281,23.15,12.36,36.22,31.04,No,,,4,Heating and Natural Ventilation,Greenwich,Greenwich and Woolwich,LONDON,2019-11-11 21:18:38,182,,,Education,51,14331
SE10 0RJ,SGL183441,Freehold,"201 Woolwich Road, London (SE10 0RJ)",GREENWICH,GREATER LONDON,GREATER LONDON,N,1140000.0,LEYGATECOURT LIMITED,01098773,Limited Company or Public Limited Company,"Epatra House, 58-60 Berners Street, London W1T 3JS",,,,,,,,,,,,,,,,,,,,,21-07-2009,N,201 Woolwich Road,15957935212010020812572003000108,,201 Woolwich Road,,SE10 0RJ,186753700000,159,G,Office,2009-04-27,E09000011,E14000718,Greater London Authority,2010-02-08,,40,70,3,Grid Supplied Electricity,,,,292,,,,,No,,2.0,4,Heating and Natural Ventilation,Greenwich,Greenwich and Woolwich,LONDON,2010-02-08 12:57:20,,10010201317,Address Matched,Offices,59,17228
SE10 0RN,LN215432,Freehold,"249 Woolwich Road, London (SE10 0RN)",GREENWICH,GREATER LONDON,GREATER LONDON,N,,BOSLEY INVESTMENTS LIMITED,,Limited Company or Public Limited Company,"61 Portland Place, London, WC1",,,,,,,,,,,,,,,,,,,,,26-06-1964,N,249 Woolwich Road,6e964eebf9484754050358a4f557db235b1c9fecad5e7d365e8f676a911b06e4,249 Woolwich Road,,,SE10 0RN,10005692098,60,C,Retail/Financial and Professional Services,2024-02-15,E09000011,E14000718,,2024-02-15,Mandatory issue (Property to let).,10,38,3,Grid Supplied Electricity,,,,81,7.84,1.5,6.0,9.48,No,,,4,Heating and Natural Ventilation,Greenwich,Greenwich and Woolwich,GREENWICH,2024-02-15 14:38:49,99,10010198297,Energy Assessor,Shops,84,6804
SE10 0YJ,TGL567954,Leasehold,"2 Sherman Walk, London (SE10 0YJ)",GREENWICH,GREATER LONDON,GREATER LONDON,N,376000.0,S E LONDON COMMERCIAL LTD,13148436,Limited Company or Public Limited Company,"Woolsington House, International Drive, Woolsington, Newcastle Upon Tyne NE13 8BF",,,,,,,,,,,,,,,,,,,,,28-07-2021,N,2 Sherman Walk,82839fc995a32a5a753997e9eeaf238d9714482a466358c62eed83938a9135f8,2 Sherman Walk,,,SE10 0YJ,10003539696,27,B,Offices and Workshop Businesses,2022-09-27,E09000011,E14000718,,2022-09-29,Mandatory issue (Non-marketed sale),18,73,3,Grid Supplied Electricity,,,,120,109.9,40.31,161.24,58.76,Yes,,3.0,5,Air Conditioning,Greenwich,Greenwich and Woolwich,GREENWICH,2022-10-03 10:03:57,641,10010261877,Energy Assessor,Offices,59,7080
SE10 8DA,SGL192412,Freehold,"72 Blackheath Road, London (SE10 8DA)",GREENWICH,GREATER LONDON,GREATER LONDON,N,450000.0,BLACKHEATH72 LTD,13532666,Limited Company or Public Limited Company,"Flat, 72a Blackheath Road, London SE10 8DA","Flat, 72b Blackheath Road, London SE10 8DA",,,,,,,,,,,,,,,,,,,,29-09-2022,N,72 Blackheath Road,81142837032013062711271504000092,,72 Blackheath Road,,SE10 8DA,328402330000,188,G,B1 Offices and Workshop businesses,2013-06-20,E09000011,E14000718,Greater London Authority,2013-06-27,Mandatory issue (Marketed sale).,37,100,3,Natural Gas,,,,165,25.98,19.41,51.77,97.85,No,,,4,Heating and Natural Ventilation,Greenwich,Greenwich and Woolwich,LONDON,2013-06-27 11:27:15,655,100023227826,Address Matched,Offices,59,9735
SE10 8EX,TGL7606,Leasehold,"21 Burney Street, London (SE10 8EX)",GREENWICH,GREATER LONDON,GREATER LONDON,N,64000.0,RIVERSWIFT LIMITED,3898130,Limited Company or Public Limited Company,"Chancery Court, Queen Street, Horsham, West Sussex RH13 5AD",,,,,,,,,,,,,,,,,,,,,26-04-2000,N,21 Burney Street,126005043032017101212314541900995,,21 Burney Street,,SE10 8EX,455190770000,96,D,B1 Offices and Workshop businesses,2017-10-04,E09000011,E14000718,Greater London Authority,2017-10-12,Mandatory issue (Marketed sale).,32,94,3,Natural Gas,,,,69,41.5,26.5,77.67,79.4,No,,,4,Air Conditioning,Greenwich,Greenwich and Woolwich,LONDON,2017-10-12 12:31:45,460,100023227801,Address Matched,Offices,59,4071
SE10 8GT,TGL588838,Leasehold,"64 Blackheath Road, London (SE10 8GT)",GREENWICH,GREATER LONDON,GREATER LONDON,N,350000.0,KNJ LIMITED,663636,Limited Company or Public Limited Company,"64 Blackheath Road, London SE10 8GT",,,,,,,,,,,,,,,,,,,,,01-09-2022,N,64 Blackheath Road,dcf3b3f5b4f74f34c4badb10ba5fa0a49c91f3fa4691dbe10856d3c7dd8a7a1f,64 Blackheath Road,,,SE10 8GT,10002504519,60,C,B1 Offices and Workshop businesses,2021-11-24,E09000011,E14000718,,2021-11-24,Mandatory issue (Property on construction).,30,88,3,Grid Supplied Electricity,,,,187,41.85,25.0,73.27,50.12,No,,,4,Air Conditioning,Greenwich,Greenwich and Woolwich,GREENWICH,2021-11-24 16:12:07,296,10010266347,Energy Assessor,Offices,59,11033
SE10 8HG,195346,Freehold,"64 Crooms Hill, London (SE10 8HG)",GREENWICH,GREATER LONDON,GREATER LONDON,N,,DOWNMORES LIMITED,01836740,Limited Company or Public Limited Company,"72 Plumstead High Street, London SE18 1SL",,,,,,,,,,,,,,,,,,,,,23-11-2023,N,64 Crooms Hill,f6bba3d4b83a4799a6d66bc6d83e86950ae165fc73b4fd9e1661232f7acb0b07,64 Crooms Hill,,,SE10 8HG,10004520847,89,D,Residential Institutions: Universities and Colleges,2023-04-18,E09000011,E14000718,,2023-05-16,Mandatory issue (Marketed sale),33,134,3,Natural Gas,,,,525,28.64,19.11,76.64,50.85,No,,,4,Heating and Natural Ventilation,Greenwich,Greenwich and Woolwich,LONDON,2023-05-16 14:08:59,305,100023227834,Energy Assessor,Education,51,26775
SE10 8JA,SGL104028,Freehold,"189 Greenwich High Road, London (SE10 8JA)",GREENWICH,GREATER LONDON,GREATER LONDON,N,,ST CHRISTOPHER'S INNS LIMITED,4707338,Limited Company or Public Limited Company,"The Stag, Hawthorn Lane, Burnham Beeches, East Burnham, Buckinghamshire SL2 3TA",,,,,,,,,,,,,,,,,,,,,28-08-2009,N,189 Greenwich High Road,78e1740377ec5ace7c9c9c72007b08d83f7d3d2ec344014bf90fecf840c8df7e,189 Greenwich High Road,,,SE10 8JA,10002495765,74,C,C1 Hotels,2022-01-28,E09000011,E14000718,,2022-02-15,Mandatory issue (Marketed sale),42,122,3,Natural Gas,,,,904,108.8,90.57,265.39,159.94,No,,,4,Heating and Natural Ventilation,Greenwich,Greenwich and Woolwich,GREENWICH,2022-02-15 17:15:21,933,100020971198,Address Matched,Hospitality,111,100344
SE10 8JE,TGL578075,Leasehold,"Unit 1, 94 Greenwich High Road, London (SE10 8JE)",GREENWICH,GREATER LONDON,GREATER LONDON,N,,DENTEX CLINICAL LIMITED,11513275,Limited Company or Public Limited Company,"Nicholas House, River Front, Enfield EN1 3FG",,,,,,,,,,,,,,,,,,,,,03-02-2022,N,"Unit 1, 94 Greenwich High Road",48793459252011033014463900009975,,Unit 1,94 Greenwich High Road,SE10 8JE,955490170000,73,C,Office,2011-03-25,E09000011,E14000718,Greater London Authority,2011-03-30,Mandatory issue (Marketed sale).,63,144,3,Grid Supplied Electricity,,,,149,46.28,57.9,133.57,67.43,Yes,,1.0,4,Air Conditioning,Greenwich,Greenwich and Woolwich,LONDON,2011-03-30 14:46:39,,10010241739,Address Matched,Offices,59,8791
SE10 8JL,SGL404420,Freehold,"17 Greenwich High Road, London (SE10 8JL)",GREENWICH,GREATER LONDON,GREATER LONDON,N,362500.0,NCG,13526372,Registered Society (Corporate Body),"Rye Hill Campus, Scotswood Road, Newcastle Upon Tyne NE4 7SA",,,,,,,,,,,,,,,,,,,,,08-08-2017,N,17 Greenwich High Road,80b2c3d6fde16cd01e7f841bd2dd36842b22c53aa905aaa55775931aa5859d7c,17 Greenwich High Road,,,SE10 8JL,10003539339,120,E,Retail/Financial and Professional Services,2022-09-23,E09000011,E14000718,,2022-10-17,Mandatory issue (Marketed sale),33,132,3,Natural Gas,,,,424,17.09,11.27,45.19,41.18,No,,,4,Heating and Natural Ventilation,Greenwich,Greenwich and Woolwich,LONDON,2022-10-18 17:53:55,270,10010265591,Energy Assessor,Shops,84,35616
SE10 8NB,TGL493610,Leasehold,"245-247 Greenwich High Road, London (SE10 8NB)",GREENWICH,GREATER LONDON,GREATER LONDON,N,249664.0,ALDI STORES LIMITED,2321869,Limited Company or Public Limited Company,"Holly Lane, Atherstone CV9 2SQ","7th Floor, Yellow Zone, 197 Blackfriars Road, London SE1 8NJ",,,,,,,,,,,,,,,,,,,,07-07-2020,N,245-247 Greenwich High Road,102721990842017031315334111000070,227 Greenwich High Road,245-247 Greenwich High Road,,SE10 8NB,485829010000,94,D,A1/A2 Retail and Financial/Professional services,2017-03-09,E09000011,E14000718,Greater London Authority,2017-03-13,Mandatory issue (Property to let).,24,71,3,Natural Gas,,,,775,50.53,24.57,71.99,94.91,Yes,,1.0,4,Heating and Natural Ventilation,Greenwich,Greenwich and Woolwich,LONDON,2017-03-13 15:33:41,559,100023227768,Address Matched,Shops,84,65100
